state_ID,State_,Tot_Pop,Year,Pop_Dist_White,Pop_Dist_Black,Pop_Dist_Hispanic,Pop_Dist_Asian,Pop_Dist_Am_In,Pop_Dist_Nat_Haw_Pac_Isl,Pop_Dist_Mult_race,Povbr_White,Povbr_Black,Povbr_Hispanic,Povbr_As_PI,Povbr_Am_Na,Povbr_Multiple_Races,Mean_Unempl,Tot_GSP_Mil,snap_tot_ben_Mil,SNAP_no_rep,Pov_Ad_Ch,Pov_Ad_No,Pov_Ad_Tot,Ad_Poor_MH_zero,Ad_Poor_MH_four,Ad_Poor_MH_thirteen,Ad_Poor_MH_fourteen,Cov_Vacc_one
36,Ohio,11824034,2023,76,12,5,3,0,0,5,10,27,21,13,23,19,204574,890206.7,3547971039,1418004.92,12,13,13,55,14,14,17,146061892
37,Oklahoma,4063882,2023,62,6,13,2,7,0,10,13,28,22,15,18,18,63064,259543.6,1721306037,681521.75,15,15,15,57,14,12,17,56123491
38,Oregon,4253653,2023,71,2,15,5,1,0,7,11,26,16,11,18,12,80215,322886.7,1829707953,732422,11,13,12,52,16,15,17,65476236
39,Pennsylvania,13017721,2023,73,10,9,4,0,0,4,9,22,22,12,32,15,221942,987637.5,4704868606,1927477.83,10,12,11,0,0,0,0,220626770
40,Rhode Island,1103429,2023,68,5,18,3,0,0,6,9,10,16,8,0,14,16880,79040.2,395199118,142962.5,9,9,9,56,15,13,16,21340711
41,South Carolina,5387830,2023,62,24,7,2,0,0,5,9,22,21,9,22,17,72227,330779.2,1544190999,619480,13,13,13,59,13,12,16,69474865
42,South Dakota,918305,2023,80,2,5,2,7,0,4,8,0,17,0,46,20,9574,73261.6,164655530,71470.17,13,11,12,59,15,12,14,14105300
43,Tennessee,7148304,2023,71,15,8,2,0,0,4,12,22,22,7,23,16,111329,534216.9,1799676926,767843.42,13,12,13,52,14,14,20,83599443
44,Texas,30727890,2023,39,12,40,6,0,0,4,8,18,18,9,15,12,595929,2636422.9,8779163626,3396071.42,12,12,12,57,14,13,16,421427620
45,Utah,3443222,2023,75,1,16,3,1,1,4,7,0,14,16,25,12,47132,279568.1,390418394,158441.25,7,10,9,50,19,15,16,45873256
46,Vermont,648708,2023,89,1,2,2,0,0,5,10,0,0,0,0,14,7015,44004.6,196097576,70685.17,5,14,11,54,18,13,16,147636880
47,Virginia,8734685,2023,58,18,11,7,0,0,6,8,17,12,7,23,10,129719,722502.4,2178169078,842819,8,10,10,56,15,14,15,11804538
48,Washington,7857320,2023,63,4,15,10,1,1,8,9,18,15,7,21,12,164039,820073.8,2282766083,896287.08,8,11,10,52,17,14,16,123416283
49,West Virginia,1770495,2023,90,3,2,1,0,0,4,16,31,13,0,0,27,30664,101685.1,755692440,307242.33,15,18,17,52,14,13,22,82988719
50,Wisconsin,5930405,2023,79,6,8,3,1,0,4,9,24,19,12,24,14,95060,422895.6,1703057958,707321.33,9,11,10,57,16,13,15,22978483
51,Wyoming,585067,2023,82,1,11,1,2,0,5,11,0,17,0,21,10,8560,51210.1,67151556,29744.92,11,13,12,58,15,14,14,6696760
